,first layer,second layer,third layer,train,test
2334,120,130,110,1.0,0.6352941176470588
2335,120,130,120,1.0,0.6470588235294117
2336,120,130,130,1.0,0.6588235294117647
2337,120,130,140,1.0,0.6470588235294116
2338,120,140,10,1.0,0.6431372549019607
2339,120,140,20,1.0,0.6274509803921567
2340,120,140,30,1.0,0.6392156862745098
2341,120,140,40,1.0,0.6431372549019607
2342,120,140,50,1.0,0.6470588235294117
2343,120,140,60,1.0,0.6156862745098038
2344,120,140,70,1.0,0.6274509803921567
2345,120,140,80,1.0,0.6431372549019607
2346,120,140,90,1.0,0.6235294117647058
2347,120,140,100,1.0,0.6196078431372548
2348,120,140,110,1.0,0.6235294117647059
2349,120,140,120,1.0,0.6431372549019607
2350,120,140,130,1.0,0.6431372549019607
2351,120,140,140,1.0,0.6392156862745098
2352,130,10,10,0.9992982456140351,0.6431372549019607
2353,130,10,20,1.0,0.6588235294117646
2354,130,10,30,1.0,0.6549019607843136
2355,130,10,40,1.0,0.6392156862745098
2356,130,10,50,0.9992982456140351,0.6235294117647059
2357,130,10,60,1.0,0.6274509803921567
2358,130,10,70,1.0,0.6470588235294117
2359,130,10,80,1.0,0.6509803921568627
2360,130,10,90,1.0,0.6274509803921567
2361,130,10,100,1.0,0.6392156862745098
2362,130,10,110,1.0,0.6470588235294117
2363,130,10,120,1.0,0.615686274509804
2364,130,10,130,1.0,0.6156862745098038
2365,130,10,140,1.0,0.6352941176470588
2366,130,20,10,1.0,0.6509803921568627
2367,130,20,20,1.0,0.6274509803921569
2368,130,20,30,1.0,0.6470588235294117
2369,130,20,40,1.0,0.6235294117647058
2370,130,20,50,1.0,0.6117647058823529
2371,130,20,60,1.0,0.6313725490196078
2372,130,20,70,1.0,0.6470588235294117
2373,130,20,80,1.0,0.6431372549019607
2374,130,20,90,0.9992982456140351,0.6274509803921567
2375,130,20,100,1.0,0.6352941176470587
2376,130,20,110,1.0,0.6313725490196077
2377,130,20,120,1.0,0.6274509803921569
2378,130,20,130,1.0,0.6470588235294117
2379,130,20,140,1.0,0.6470588235294116
2380,130,30,10,1.0,0.6431372549019606
2381,130,30,20,1.0,0.6509803921568627
2382,130,30,30,1.0,0.6666666666666665
2383,130,30,40,1.0,0.6274509803921567
2384,130,30,50,1.0,0.6431372549019607
2385,130,30,60,1.0,0.6588235294117647
2386,130,30,70,1.0,0.6509803921568627
2387,130,30,80,1.0,0.6509803921568628
2388,130,30,90,1.0,0.6392156862745096
2389,130,30,100,1.0,0.6627450980392156
2390,130,30,110,1.0,0.6823529411764704
2391,130,30,120,1.0,0.6470588235294117
2392,130,30,130,1.0,0.6627450980392156
2393,130,30,140,1.0,0.6196078431372548
2394,130,40,10,1.0,0.6431372549019606
2395,130,40,20,1.0,0.6509803921568627
2396,130,40,30,1.0,0.6313725490196077
2397,130,40,40,1.0,0.6509803921568627
2398,130,40,50,1.0,0.6352941176470589
2399,130,40,60,1.0,0.6666666666666666
2400,130,40,70,1.0,0.6392156862745096
2401,130,40,80,1.0,0.6549019607843136
2402,130,40,90,1.0,0.6431372549019607
2403,130,40,100,1.0,0.6392156862745096
2404,130,40,110,1.0,0.6941176470588234
2405,130,40,120,1.0,0.6274509803921569
2406,130,40,130,1.0,0.6666666666666665
2407,130,40,140,1.0,0.6627450980392156
2408,130,50,10,1.0,0.6588235294117646
2409,130,50,20,1.0,0.6431372549019606
2410,130,50,30,1.0,0.6588235294117646
2411,130,50,40,1.0,0.6352941176470587
2412,130,50,50,1.0,0.6588235294117646
2413,130,50,60,1.0,0.6274509803921567
2414,130,50,70,1.0,0.6588235294117646
2415,130,50,80,1.0,0.6274509803921567
2416,130,50,90,1.0,0.611764705882353
2417,130,50,100,1.0,0.6549019607843136
2418,130,50,110,1.0,0.6352941176470587
2419,130,50,120,1.0,0.6509803921568627
2420,130,50,130,1.0,0.6313725490196077
2421,130,50,140,1.0,0.6313725490196078
2422,130,60,10,1.0,0.6352941176470588
2423,130,60,20,1.0,0.611764705882353
2424,130,60,30,1.0,0.6431372549019607
2425,130,60,40,1.0,0.6274509803921567
2426,130,60,50,1.0,0.6705882352941175
2427,130,60,60,1.0,0.6705882352941175
2428,130,60,70,1.0,0.6549019607843136
2429,130,60,80,1.0,0.6509803921568627
2430,130,60,90,1.0,0.6509803921568627
2431,130,60,100,1.0,0.6705882352941177
2432,130,60,110,1.0,0.6705882352941175
2433,130,60,120,1.0,0.6431372549019606
2434,130,60,130,1.0,0.6431372549019607
2435,130,60,140,1.0,0.6509803921568627
2436,130,70,10,1.0,0.6235294117647059
2437,130,70,20,1.0,0.6509803921568627
2438,130,70,30,1.0,0.6196078431372548
2439,130,70,40,1.0,0.6431372549019607
2440,130,70,50,1.0,0.6431372549019607
2441,130,70,60,1.0,0.6274509803921569
2442,130,70,70,1.0,0.6509803921568627
2443,130,70,80,1.0,0.6705882352941175
2444,130,70,90,1.0,0.6313725490196078
2445,130,70,100,1.0,0.6588235294117646
2446,130,70,110,1.0,0.6745098039215685
2447,130,70,120,1.0,0.6549019607843136
2448,130,70,130,1.0,0.6549019607843136
2449,130,70,140,1.0,0.6352941176470588
2450,130,80,10,1.0,0.6196078431372549
2451,130,80,20,1.0,0.6352941176470588
2452,130,80,30,1.0,0.6235294117647059
2453,130,80,40,1.0,0.6392156862745098
2454,130,80,50,1.0,0.6431372549019607
2455,130,80,60,1.0,0.6392156862745096
2456,130,80,70,1.0,0.6392156862745098
2457,130,80,80,1.0,0.6588235294117646
2458,130,80,90,1.0,0.6392156862745098
2459,130,80,100,1.0,0.6549019607843136
2460,130,80,110,1.0,0.6392156862745098
2461,130,80,120,1.0,0.6235294117647059
2462,130,80,130,1.0,0.6509803921568627
2463,130,80,140,1.0,0.6431372549019607
2464,130,90,10,1.0,0.6627450980392157
2465,130,90,20,1.0,0.6470588235294118
2466,130,90,30,1.0,0.6705882352941175
2467,130,90,40,1.0,0.6509803921568627
2468,130,90,50,1.0,0.6588235294117646
2469,130,90,60,1.0,0.6431372549019606
2470,130,90,70,1.0,0.6274509803921569
2471,130,90,80,1.0,0.6705882352941177
2472,130,90,90,1.0,0.6627450980392157
2473,130,90,100,1.0,0.6666666666666667
2474,130,90,110,1.0,0.6627450980392156
2475,130,90,120,1.0,0.6274509803921569
2476,130,90,130,1.0,0.6235294117647058
2477,130,90,140,1.0,0.6666666666666665
2478,130,100,10,1.0,0.6470588235294117
2479,130,100,20,1.0,0.6509803921568627
2480,130,100,30,1.0,0.6470588235294117
2481,130,100,40,1.0,0.6549019607843136
2482,130,100,50,1.0,0.6431372549019607
2483,130,100,60,1.0,0.6627450980392156
2484,130,100,70,1.0,0.6666666666666665
2485,130,100,80,1.0,0.6392156862745098
2486,130,100,90,1.0,0.6431372549019607
2487,130,100,100,1.0,0.6470588235294117
2488,130,100,110,1.0,0.615686274509804
2489,130,100,120,1.0,0.6392156862745098
2490,130,100,130,1.0,0.6509803921568627
2491,130,100,140,1.0,0.6627450980392156
